full_path,path,class
/Users/amirbajmukasev/pp_5/dataset_random/5446.jpg,dataset_random/5446.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/5929.jpg,dataset_random/5929.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/6474.jpg,dataset_random/6474.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/82.jpg,dataset_random/82.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/1088.jpg,dataset_random/1088.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/6048.jpg,dataset_random/6048.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/2011.jpg,dataset_random/2011.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/7702.jpg,dataset_random/7702.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/5437.jpg,dataset_random/5437.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/8359.jpg,dataset_random/8359.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/1855.jpg,dataset_random/1855.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/1516.jpg,dataset_random/1516.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/2343.jpg,dataset_random/2343.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/2867.jpg,dataset_random/2867.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/608.jpg,dataset_random/608.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/9998.jpg,dataset_random/9998.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/6312.jpg,dataset_random/6312.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/6838.jpg,dataset_random/6838.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/6062.jpg,dataset_random/6062.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/603.jpg,dataset_random/603.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/2227.jpg,dataset_random/2227.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/8936.jpg,dataset_random/8936.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/1493.jpg,dataset_random/1493.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/7318.jpg,dataset_random/7318.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/8064.jpg,dataset_random/8064.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/9935.jpg,dataset_random/9935.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/5434.jpg,dataset_random/5434.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/1017.jpg,dataset_random/1017.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/5482.jpg,dataset_random/5482.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/9504.jpg,dataset_random/9504.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/6230.jpg,dataset_random/6230.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/9268.jpg,dataset_random/9268.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/4308.jpg,dataset_random/4308.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/2551.jpg,dataset_random/2551.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/8483.jpg,dataset_random/8483.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/2384.jpg,dataset_random/2384.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/4409.jpg,dataset_random/4409.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/3152.jpg,dataset_random/3152.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/9043.jpg,dataset_random/9043.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/2882.jpg,dataset_random/2882.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/8914.jpg,dataset_random/8914.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/9679.jpg,dataset_random/9679.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/8705.jpg,dataset_random/8705.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/4320.jpg,dataset_random/4320.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/3170.jpg,dataset_random/3170.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/8134.jpg,dataset_random/8134.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/6496.jpg,dataset_random/6496.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/9833.jpg,dataset_random/9833.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/7364.jpg,dataset_random/7364.jpg,brown bear
/Users/amirbajmukasev/pp_5/dataset_random/823.jpg,dataset_random/823.jpg,brown bear
